21:27:07,14.0
21:27:09,11.0
21:27:10,14.0
21:27:10,13.0
21:27:11,14.0
21:27:12,19.0
21:27:13,12.0
21:27:14,14.0
21:27:15,14.0
21:27:16,16.0
21:27:17,10.0
21:27:18,19.0
21:27:19,19.0
21:27:20,13.0
21:27:21,14.0
21:27:22,17.0
21:27:23,13.0
21:27:24,17.0
21:27:25,10.0
21:27:26,12.0
21:27:27,15.0
21:27:28,15.0
21:27:29,18.0
21:27:30,16.0
21:27:31,13.0
21:27:32,14.0
21:27:33,16.0
21:27:34,14.0
21:27:35,11.0
21:27:36,12.0
21:27:37,12.0
21:27:38,16.0
21:27:39,10.0
21:27:40,18.0
21:27:41,14.0
21:27:42,10.0
21:27:43,19.0
21:27:44,16.0
21:27:45,12.0
21:27:46,11.0
21:27:47,12.0
21:27:48,19.0
21:27:49,15.0
21:27:50,17.0
21:27:51,15.0
21:27:52,14.0
21:27:53,17.0
21:27:54,10.0
21:27:55,16.0
21:27:56,17.0
21:27:57,12.0
21:27:58,17.0
21:27:59,15.0
21:28:00,19.0
21:28:01,16.0
21:28:02,15.0
21:28:03,18.0
21:28:04,15.0
21:28:05,18.0
21:28:06,15.0
